ha001:013	10	@	-	Minkätähden␣
ha001:013	11	(@)	-	sinä␣
ha001:013	11	@	-	katselet␣
ha001:013	12	@	-	uskottomia
ha001:013	-	(,)	-	,␣
ha001:013	13	@	-	olet␣
ha001:013	13	@	-	vaiti
ha001:013	-	(,)	-	,␣
ha001:013	14a	@	-	kun␣
ha001:013	15	@	-	jumalaton␣
ha001:013	14b	@	-	nielee␣
ha001:013	16	@	-	hurskaampansa
ha001:013	17	%pers	3	
ha001:013	-	(,)	-	,␣
ha001:014	ha001:014	ha001:014	VERSE	Hab␣1:14␣
ha001:014	(1a)	-	UNTRANSLATED	
ha001:014	1b	@	-	teet␣
ha001:014	2	@	-	ihmiset␣
ha001:014	3a	@	-	samankaltaisiksi␣
ha001:014	3a	@	-	kuin␣
ha001:014	(4a) 4b	@	-	meren␣
ha001:014	3b	@	-	kalat
ha001:014	-	(,)	-	,␣
ha001:014	5a	@	-	kuin␣
ha001:014	5b	@	-	matelevaiset
ha001:014	-	(,)	-	,␣
ha001:014	8	@	-	joilla␣
ha001:014	6	@	-	ei␣
ha001:014	-	(@)	-	ole␣
ha001:014	7	@	-	hallitsijaa
ha001:014	-	(?)	-	?␣
ha001:015	ha001:015	ha001:015	VERSE	Hab␣1:15␣
ha001:015	3	(@)	-	Se␣
ha001:015	3	@	-	nostaa␣
ha001:015	pers%1	@	-	heidät␣
ha001:015	1	@	-	kaikki␣
ha001:015	3	(@)	-	ylös␣
ha001:015	2b	@	-	koukulla
ha001:015	2a	%case	LOC	
ha001:015	-	(,)	-	,␣
ha001:015	4	@	-	vetää␣
ha001:015	pers%4	@	-	heidät␣
ha001:015	5b	@	-	pyydyksessään␣
ha001:015	5a	%case	LOC	
ha001:015	6a	@	-	ja␣
ha001:015	6b	@	-	kokoaa␣
ha001:015	pers%6b	@	-	heidät␣
ha001:015	7b	@	-	verkkoonsa
ha001:015	7a	%case	LOC	
ha001:015	-	(.)	-	.␣
ha001:015	8 9	@	-	Sentähden␣
ha001:015	10	(@)	-	se␣
ha001:015	10	@	-	iloitsee␣
ha001:015	11a	@	-	ja␣
ha001:015	11b	@	-	riemuitsee
ha001:015	-	(.)	-	.␣
ha001:016	ha001:016	ha001:016	VERSE	Hab␣1:16␣
ha001:016	1 2	@	-	Sentähden␣
ha001:016	3	(@)	-	se␣
ha001:016	3	@	-	uhraa␣
ha001:016	4b	@	-	pyydykselleen␣
ha001:016	4a	%case	LOC	
ha001:016	5a	@	-	ja␣
ha001:016	5b	@	-	polttaa␣
ha001:016	5b	@	-	uhreja␣
ha001:016	6b	@	-	verkollensa
ha001:016	6a	%case	LOC	
ha001:016	-	(,)	-	,␣
ha001:016	7	@	-	sillä␣
ha001:016	8b	@	-	niitten␣
ha001:016	8a	@	-	turvin␣
ha001:016	pers%10	@	-	sen␣
ha001:016	10	@	-	osa␣
ha001:016	-	(@)	-	on␣
ha001:016	9	@	-	rasvainen
ha001:016	(11a)	-	UNTRANSLATED	
ha001:016	-	(,)	-	,␣
ha001:016	pers%11b	@	-	sen␣
ha001:016	11b	@	-	ruoka␣
ha001:016	12	@	-	lihava
ha001:016	-	(.)	-	.␣
ha001:017	ha001:017	ha001:017	VERSE	Hab␣1:17␣
ha001:017	3	(@)	-	Saako␣
ha001:017	1a	%clitic	kO	
ha001:017	3	(@)	-	se␣
ha001:017	1b 2	@	-	sentähden␣
ha001:017	3	@	-	tyhjentää␣
ha001:017	4	@	-	pyydyksensä
ha001:017	(5a)	-	UNTRANSLATED	
ha001:017	-	(,)	-	,␣
ha001:017	5b	@	-	aina␣
ha001:017	6b	@	-	surmata␣
ha001:017	6a	%case	LAT	
ha001:017	7	@	-	kansoja␣
ha001:017	9	@	-	säälimättä
ha001:017	8	%case	ABE	
ha001:017	-	(?)	-	?␣
ha002:001	ha002:001	ha002:001	VERSE	Hab␣2:1␣
ha002:001	3	(@)	-	Minä␣
ha002:001	3	@	-	seison␣
ha002:001	2	@	-	vartiopaikallani
ha002:001	1	%case	LOC	
ha002:001	(4a)	-	UNTRANSLATED	
ha002:001	-	(,)	-	,␣
ha002:001	4b	@	-	asetun␣
ha002:001	6	@	-	varustukseen␣
ha002:001	5	%case	LOC	
ha002:001	7a	@	-	ja␣
ha002:001	7b	@	-	tähystän
ha002:001	-	(,)	-	,␣
ha002:001	8b	@	-	nähdäkseni
ha002:001	8a	%case	TRA	
ha002:001	-	(,)	-	,␣
ha002:001	9	@	-	mitä␣
ha002:001	10	(@)	-	hän␣
ha002:001	11	@	-	minulle␣
ha002:001	10	@	-	puhuu
ha002:001	(12a)	-	UNTRANSLATED	
ha002:001	-	(,)	-	,␣
ha002:001	12b	@	-	mitä␣
ha002:001	13	(@)	-	hän␣
ha002:001	15	@	-	valitukseeni␣
ha002:001	14	%case	LOC	
ha002:001	13	@	-	vastaa
ha002:001	-	(.)	-	.␣
ha002:002	ha002:002	ha002:002	VERSE	Hab␣2:2␣
ha002:002	1a	@	-	Ja␣
ha002:002	2	@	-	Herra␣
ha002:002	1b	@	-	vastasi␣
ha002:002	pers%1b	@	-	minulle␣
ha002:002	3a	@	-	ja␣
ha002:002	3b	@	-	sanoi
ha002:002	-	(:)	-	:␣
ha002:002	-	(@)	-	"
ha002:002	4	@	-	Kirjoita␣
ha002:002	5	@	-	näky␣
ha002:002	6a	@	-	ja␣
ha002:002	6b	@	-	piirrä␣
ha002:002	6b	@	-	selvästi␣
ha002:002	(8a) 8b	@	-	tauluihin
ha002:002	7	%case	LOC	
ha002:002	-	(,)	-	,␣
ha002:002	9	@	-	niin␣
ha002:002	9	@	-	että␣
ha002:002	12	@	-	sen␣
ha002:002	mod%11	@	-	voi␣
ha002:002	10	@	-	juostessa␣
ha002:002	11	@	-	lukea
ha002:002	-	(@)	-	"
ha002:002	-	(.)	-	.␣
ha002:003	ha002:003	ha002:003	VERSE	Hab␣2:3␣
ha002:003	1	@	-	Sillä␣
ha002:003	3	@	-	näky␣
ha002:003	-	(@)	-	odottaa␣
ha002:003	2	@	-	vielä␣
ha002:003	4b	@	-	aikaansa
ha002:003	4a	%case	PTV	
ha002:003	-	(,)	-	,␣
ha002:003	5a	@	-	mutta␣
ha002:003	5b	(@)	-	se␣
ha002:003	5b	@	-	rientää␣
ha002:003	6b	@	-	määränsä␣
ha002:003	6a	@	-	päähän
ha002:003	-	(,)	-	,␣
ha002:003	(7a) 7b	@	-	eikä␣
ha002:003	8	(@)	-	se␣
ha002:003	8	@	-	petä
ha002:003	-	(.)	-	.␣
ha002:003	9	@	-	Jos␣
ha002:003	10	(@)	-	se␣
ha002:003	10	@	-	viipyy
