1t001:019	12b	.	-	.␣
1t001:020	1t001:020	1t001:020	VERSE	1Tm␣1:20␣
1t001:020	1	@	-	Niitä␣
1t001:020	2	@	-	ovat␣
1t001:020	3	@	-	Hymeneus␣
1t001:020	4	@	-	ja␣
1t001:020	5a	@	-	Aleksander
1t001:020	5b	,	-	,␣
1t001:020	6	@	-	jotka␣
1t001:020	7	(@)	-	minä␣
1t001:020	7	(@)	-	olen␣
1t001:020	7	@	-	antanut␣
1t001:020	(8) 9a	@	-	saatanan␣
1t001:020	case%9a	@	-	haltuun
1t001:020	9b	,	-	,␣
1t001:020	11	@	-	kuritettaviksi
1t001:020	10	%case	TRA	
1t001:020	-	(,)	-	,␣
1t001:020	12	@	-	etteivät␣
1t001:020	-	(@)	-	enää␣
1t001:020	13a	@	-	pilkkaisi
1t001:020	13b	.	-	.␣
1t002:001	1t002:001	1t002:001	VERSE	1Tm␣2:1␣
1t002:001	1	(@)	-	Minä␣
1t002:001	1	@	-	kehoitan␣
1t002:001	2	@	-	siis␣
1t002:001	3	@	-	ennen␣
1t002:001	4	@	-	kaikkea␣
1t002:001	6	@	-	anomaan
1t002:001	-	(,)	-	,␣
1t002:001	7	@	-	rukoilemaan
1t002:001	-	(,)	-	,␣
1t002:001	5	@	-	pitämään␣
1t002:001	8	@	-	esirukouksia␣
1t002:001	-	(@)	-	ja␣
1t002:001	9	@	-	kiittämään␣
1t002:001	11	@	-	kaikkien␣
1t002:001	12a	@	-	ihmisten␣
1t002:001	10	@	-	puolesta
1t002:001	12b	,	-	,␣
1t002:002	1t002:002	1t002:002	VERSE	1Tm␣2:2␣
1t002:002	2	@	-	kuningasten␣
1t002:002	3	@	-	ja␣
1t002:002	4	@	-	kaiken␣
1t002:002	7	@	-	esivallan␣
1t002:002	5 6 8a	%case	GEN	
1t002:002	1	@	-	puolesta
1t002:002	8b	,	-	,␣
1t002:002	9	@	-	että␣
1t002:002	tasp%14	@	-	saisimme␣
1t002:002	14	@	-	viettää␣
1t002:002	10	@	-	rauhallista␣
1t002:002	11	@	-	ja␣
1t002:002	12	@	-	hiljaista␣
1t002:002	13	@	-	elämää␣
1t002:002	16	@	-	kaikessa␣
1t002:002	17	@	-	jumalisuudessa␣
1t002:002	15	%case	LOC	
1t002:002	18	@	-	ja␣
1t002:002	19a	@	-	kunniallisuudessa
1t002:002	19b	.	-	.␣
1t002:003	1t002:003	1t002:003	VERSE	1Tm␣2:3␣
1t002:003	-	(@)	-	Sillä␣
1t002:003	1	@	-	se␣
1t002:003	-	(@)	-	on␣
1t002:003	2	@	-	hyvää␣
1t002:003	3	@	-	ja␣
1t002:003	4	@	-	otollista␣
1t002:003	9a	@	-	Jumalalle
1t002:003	5	%case	LOC	
