es001:013	es001:013	es001:013	VERSE	Est␣1:13␣
es001:013	1a	@	-	Ja␣
es001:013	(2a) 2b	@	-	kuningas␣
es001:013	1b	@	-	puhui␣
es001:013	3b	@	-	viisaille
es001:013	3a	%case	LOC	
es001:013	-	(,)	-	,␣
es001:013	4 (5a) 5b	@	-	ajantietäjille␣
es001:013	-	(-)	-	-␣
es001:013	6	@	-	sillä␣
es001:013	7	@	-	näin␣
es001:013	-	(@)	-	oli␣
es001:013	-	(@)	-	tapana␣
es001:013	-	(@)	-	esittää␣
es001:013	(9a) 9b	@	-	kuninkaan␣
es001:013	8	@	-	sana␣
es001:013	11	@	-	kaikille␣
es001:013	10a 10b	%case	LOC	
es001:013	13	@	-	lain␣
es001:013	14a	@	-	ja␣
es001:013	14b	@	-	oikeuden␣
es001:013	12	@	-	tuntijoille
es001:013	-	(,)	-	,␣
es001:014	es001:014	es001:014	VERSE	Est␣1:14␣
es001:014	1a	@	-	ja␣
es001:014	2	@	-	hänen␣
es001:014	(1b) 1c	@	-	lähimpänsä␣
es001:014	-	(@)	-	olivat␣
es001:014	3	@	-	Karsena
es001:014	-	(,)	-	,␣
es001:014	4	@	-	Seetar
es001:014	-	(,)	-	,␣
es001:014	5	@	-	Admata
es001:014	-	(,)	-	,␣
es001:014	6	@	-	Tarsis
es001:014	-	(,)	-	,␣
es001:014	7	@	-	Meres
es001:014	-	(,)	-	,␣
es001:014	8	@	-	Marsena␣
es001:014	-	(@)	-	ja␣
es001:014	9	@	-	Memukan
es001:014	-	(,)	-	,␣
es001:014	10	@	-	seitsemän␣
es001:014	12	@	-	Persian␣
es001:014	13a	@	-	ja␣
es001:014	13b	@	-	Meedian␣
es001:014	11	@	-	ruhtinasta
es001:014	-	(,)	-	,␣
es001:014	-	(@)	-	jotka␣
es001:014	14	@	-	näkivät␣
es001:014	(16a) 16b	@	-	kuninkaan␣
es001:014	15	@	-	kasvot␣
es001:014	-	(@)	-	ja␣
es001:014	(17a) 17b	@	-	istuivat␣
es001:014	19b	@	-	valtakunnan␣
es001:014	19a	%case	GEN	
es001:014	18	@	-	ensimmäisinä␣
es001:014	-	(-)	-	-
es001:014	-	(:)	-	:␣
es001:015	es001:015	es001:015	VERSE	Est␣1:15␣
es001:015	-	(@)	-	"
es001:015	2	@	-	Mitä␣
es001:015	3b	(@)	-	on␣
es001:015	3a	%case	?	
es001:015	1b	@	-	lain␣
es001:015	1a	@	-	mukaan␣
es001:015	3b	@	-	tehtävä␣
es001:015	4b	@	-	kuningatar␣
es001:015	4a	%case	NOM	
es001:015	5	@	-	Vastille
es001:015	-	(,)	-	,␣
es001:015	7	@	-	koska␣
es001:015	6	%case	?	
es001:015	9	(@)	-	hän␣
es001:015	8	@	-	ei␣
es001:015	9	(@)	-	ole␣
es001:015	9	@	-	noudattanut␣
es001:015	11	@	-	käskyä
es001:015	10	%case	PTV	
es001:015	-	(,)	-	,␣
es001:015	-	(@)	-	jonka␣
es001:015	(12a) 12b	@	-	kuningas␣
es001:015	13	@	-	Ahasveros␣
es001:015	-	(@)	-	on␣
es001:015	-	(@)	-	antanut␣
es001:015	(15a) 15b	@	-	hoviherrojen␣
es001:015	14b	@	-	kautta
es001:015	14a	%case	?	
es001:015	-	(?)	-	?
es001:015	-	(@)	-	"␣
es001:016	es001:016	es001:016	VERSE	Est␣1:16␣
es001:016	1a	@	-	Niin␣
es001:016	3	@	-	Memukan␣
es001:016	1b	@	-	sanoi␣
es001:016	(5a) 5b	@	-	kuninkaan␣
es001:016	6a	@	-	ja␣
es001:016	(6b) 6c	@	-	ruhtinasten␣
es001:016	4a 4b	@	-	edessä
es001:016	-	(:)	-	:␣
