cl001:008	9a	πνεῦμα/4151/4015	DAT.NEUT.SG	Πνεύματι	pneumati
cl001:008	9b	-/-/-	-	.	.
cl001:009	1	διά/1223/1221	PREP	Διὰ	dia
cl001:009	2	οὗτος/3778/-	DEM.acc.SG.NEUT	τοῦτο	tūto
cl001:009	3	καί/2532/2515	CNJ	καὶ	kai
cl001:009	4a	ἐγώ/1473/1476	PRON.NOM.1pl	ἡμεῖς	hēmeis
cl001:009	4b	-/-/-	-	,	,
cl001:009	5	ἀπό/575/0575	PREP	ἀφ’	af
cl001:009	6	ὅς/3739/3607	REL.GEN.SG.FEM	ἧς	hēs
cl001:009	7	ἡμέρα/2250/2237	GEN.FEM.SG	ἡμέρας	hēmeras
cl001:009	8a	ἀκούω/191&5656/0189	AOR.ACT.IND.1pl	ἠκούσαμεν	ēkūsamen
cl001:009	8b	-/-/-	-	,	,
cl001:009	9	οὐ/3756/3624	PRART.NOM	οὐ	ū
cl001:009	10	παύω/3973&5731/3838	PRES.MID.IND.1pl	παυόμεθα	pauometha
cl001:009	11	ὑπέρ/5228/5066	PREP	ὑπὲρ	hyper
cl001:009	12	σύ/4771/4624	PRON.GEN.2pl	ὑμῶν	hymōn
cl001:009	13	προσεύχομαι/4336&5740/4198	PRES.MID/PASS/DEP.PART.NOM.MASC.PL	προσευχόμενοι	proseukhomenoi
cl001:009	14	καί/2532/2515	CNJ	καὶ	kai
cl001:009	15a	αἰτέω/154&5734/0155	PRES.MID.PART.NOM.MASC.PL	αἰτούμενοι	aitūmenoi
cl001:009	15b	-/-/-	-	-	-
cl001:009	16	ἵνα/2443/2424	CNJ	ἵνα	hina
cl001:009	17	πληρόω/4137&5686/4000	AOR.PASS.SBJV.2pl	πληρωθῆτε	plērōthēte
cl001:009	18	ὁ/3588/3455	ART.ACC.FEM.SG	τὴν	tēn
cl001:009	19	ἐπίγνωσις/1922/1915	ACC.FEM.SG	ἐπίγνωσιν	epignōsin
cl001:009	20	ὁ/3588/3455	ART.GEN.NEUT.SG	τοῦ	tū
cl001:009	21	θέλημα/2307/2289	GEN.NEUT.SG	θελήματος	thelēmatos
cl001:009	22	αὐτός/846/0841	PRON.GEN.MASC.SG	αὐτοῦ	autū
cl001:009	23	ἐν/1722/1714	PREP	ἐν	en
cl001:009	24	πᾶς/3956/3821	ADJ.DAT.FEM.SG	πάσῃ	pasē
cl001:009	25	σοφία/4678/4534	DAT.FEM.SG	σοφίᾳ	sofia
cl001:009	26	καί/2532/2515	CNJ	καὶ	kai
cl001:009	27	σύνεσις/4907/4761	DAT.FEM.SG	συνέσει	synesei
cl001:009	28a	πνευματικός/4152/4016	ADJ.DAT.FEM.SG	πνευματικῇ	pneumatikē
cl001:009	28b	-/-/-	-	,	,
cl001:010	1	περιπατέω/4043&5658/3909	AOR.ACT.INF	περιπατῆσαι	peripatēsai
cl001:010	2	ἀξίως/516/0519	ADV	ἀξίως	aksiōs
cl001:010	3	ὁ/3588/3455	ART.GEN.MASC.SG	τοῦ	tū
cl001:010	4	κύριος/2962/2950	GEN.MASC.SG	Κυρίου	kyriū
cl001:010	5	εἰς/1519/1513	PREP	εἰς	eis
