mk001:010	14	ὡς/5613/5446	ADV	ὡς	hōs
mk001:010	15	περιστερά/4058/3922	ACC.FEM.SG	περιστερὰν	peristeran
mk001:010	16	καταβαίνω/2597&5723/2577	PRES.ACT.PART.ACC.NEUT.SG	καταβαῖνον	katabainon
mk001:010	17	εἰς/1519/1513	PREP	εἰς	eis
mk001:010	18a	αὐτός/846/0841	PRON.ACC.MASC.SG	αὐτόν	auton
mk001:010	18b	-/-/-	-	·	·
mk001:011	1	καί/2532/2515	CNJ	καὶ	kai
mk001:011	2	φωνή/5456/5295	NOM.FEM.SG	φωνὴ	fōnē
mk001:011	3	γίνομαι/1096&5633/1095	2AOR.MID/DEP.IND.3sg	ἐγένετο	egeneto
mk001:011	4	ἐκ/1537/1529	PREP	ἐκ	ek
mk001:011	5	ὁ/3588/3455	ART.GEN.MASC.PL	τῶν	tōn
mk001:011	6a	οὐρανός/3772/3640	GEN.MASC.PL	οὐρανῶν	ūranōn
mk001:011	6b	-/-/-	-	-	-
mk001:011	7	σύ/4771/4624	PRON.NOM.2sg	Σὺ	sy
mk001:011	8	εἰμί/1510&5719/1504	PRES.ACT.IND.2sg	εἶ	ei
mk001:011	9	ὁ/3588/3455	ART.NOM.MASC.SG	ὁ	ho
mk001:011	10	υἱός/5207/-	NOM.MASC.SG	Υἱός	huios
mk001:011	11	ἐγώ/1473/1476	PRON.GEN.1sg	μου	mū
mk001:011	12	ὁ/3588/3455	ART.NOM.MASC.SG	ὁ	ho
mk001:011	13a	ἀγαπητός/27/0027	ADJ.NOM.MASC.SG	ἀγαπητός	agapētos
mk001:011	13b	-/-/-	-	,	,
mk001:011	14	ἐν/1722/1714	PREP	ἐν	en
mk001:011	15	σύ/4771/4624	PRON.DAT.2sg	σοὶ	soi
mk001:011	16a	εὐδοκέω/2106&5656/2094	AOR.ACT.IND.1sg	εὐδόκησα	eudokēsa
mk001:011	16b	-/-/-	-	.	.
mk001:012	1	καί/2532/2515	CNJ	Καὶ	kai
mk001:012	2	εὐθέως/2112/2100	ADV	εὐθὺς	euthys
mk001:012	3	ὁ/3588/3455	ART.NOM.NEUT.SG	τὸ	to
mk001:012	4	πνεῦμα/4151/4015	NOM.NEUT.SG	Πνεῦμα	pneuma
mk001:012	5	αὐτός/846/0841	PRON.ACC.MASC.SG	αὐτὸν	auton
mk001:012	6	ἐκβάλλω/1544&5719/1537	PRES.ACT.IND.3sg	ἐκβάλλει	ekballei
mk001:012	7	εἰς/1519/1513	PREP	εἰς	eis
mk001:012	8	ὁ/3588/3455	ART.ACC.FEM.SG	τὴν	tēn
mk001:012	9a	ἔρημος/2048/2040	ADJ.ACC.FEM.SG	ἔρημον	erēmon
mk001:012	9b	-/-/-	-	.	.
mk001:013	1	καί/2532/2515	CNJ	καὶ	kai
mk001:013	2	εἰμί/1510&5707/1504	IMPF.ACT.IND.3sg	ἦν	ēn
mk001:013	3	ἐν/1722/1714	PREP	ἐν	en
mk001:013	4	ὁ/3588/3455	ART.DAT.FEM.SG	τῇ	tē
mk001:013	5	ἔρημος/2048/2040	ADJ.DAT.FEM.SG	ἐρήμῳ	erēmō
mk001:013	6	τεσσεράκοντα/5062/4913	ADJ.NOM.IU	τεσσεράκοντα	tesserakonta
mk001:013	7	ἡμέρα/2250/2237	ACC.FEM.PL	ἡμέρας	hēmeras
mk001:013	8	πειράζω/3985&5746/3850	PRES.PASS.PART.NOM.MASC.SG	πειραζόμενος	peiradzomenos
mk001:013	9	ὑπό/5259/5099	PREP	ὑπὸ	hypo
mk001:013	10	ὁ/3588/3455	ART.GEN.MASC.SG	τοῦ	tū
mk001:013	11a	Σατανᾶς/4567/4424	GEN.MASC.SG	Σατανᾶ	satana
mk001:013	11b	-/-/-	-	,	,
mk001:013	12	καί/2532/2515	CNJ	καὶ	kai
mk001:013	13	εἰμί/1510&5707/1504	IMPF.ACT.IND.3sg	ἦν	ēn
mk001:013	14	μετά/3326/3207	PREP	μετὰ	meta
mk001:013	15	ὁ/3588/3455	ART.GEN.NEUT.PL	τῶν	tōn
mk001:013	16a	θηρίον/2342/2324	GEN.NEUT.PL	θηρίων	thēriōn
mk001:013	16b	-/-/-	-	,	,
mk001:013	17	καί/2532/2515	CNJ	καὶ	kai
mk001:013	18	ὁ/3588/3455	ART.NOM.MASC.PL	οἱ	hoi
mk001:013	19	ἄγγελος/32/0033	NOM.MASC.PL	ἄγγελοι	angeloi
mk001:013	20	διακονέω/1247&5707/1245	IMPF.ACT.IND.3pl	διηκόνουν	diēkonūn
mk001:013	21a	αὐτός/846/0841	PRON.DAT.MASC.SG	αὐτῷ	autō
mk001:013	21b	-/-/-	-	.	.
mk001:014	1	καί/2532/2515	CNJ	Καὶ	kai
mk001:014	2	μετά/3326/3207	PREP	μετὰ	meta
mk001:014	3	ὁ/3588/3455	ART.ACC.NEUT.SG	τὸ	to
mk001:014	4	παραδίδωμι/3860&5683/3724	AOR.PASS.INF	παραδοθῆναι	paradothēnai
mk001:014	5	ὁ/3588/3455	ART.ACC.MASC.SG	τὸν	ton
mk001:014	6	Ἰωάννης/2491/2471	ACC.MASC.SG	Ἰωάνην	iōanēn
mk001:014	7	ἔρχομαι/2064&5627/2056	2AOR.ACT.IND.3sg	ἦλθεν	ēlthen
mk001:014	8	ὁ/3588/3455	ART.NOM.MASC.SG	ὁ	ho
mk001:014	9	Ἰησοῦς/2424/2406	NOM.MASC.SG	Ἰησοῦς	iēsūs
mk001:014	10	εἰς/1519/1513	PREP	εἰς	eis
mk001:014	11	ὁ/3588/3455	ART.ACC.FEM.SG	τὴν	tēn
mk001:014	12	Γαλιλαία/1056/1054	ACC.FEM.SG	Γαλιλαίαν	galilaian
mk001:014	13	κηρύσσω/2784&5723/2768	PRES.ACT.PART.NOM.MASC.SG	κηρύσσων	kēryssōn
mk001:014	14	ὁ/3588/3455	ART.ACC.NEUT.SG	τὸ	to
mk001:014	15	εὐαγγέλιον/2098/2085	ACC.NEUT.SG	εὐαγγέλιον	euangelion
mk001:014	16	ὁ/3588/3455	ART.GEN.MASC.SG	τοῦ	tū
mk001:014	17	θεός/2316/2298	GEN.MASC.SG	Θεοῦ	theū
mk001:015	1	καί/2532/2515	CNJ	καὶ	kai
mk001:015	2	λέγω/3004&5723/2992	PRES.ACT.PART.NOM.MASC.SG	λέγων	legōn
mk001:015	3	ὅτι/3754/3621	CNJ	ὅτι	hoti
mk001:015	4	πληρόω/4137&5769/4000	PERF.PASS.IND.3sg	Πεπλήρωται	peplērōtai
mk001:015	5	ὁ/3588/3455	ART.NOM.MASC.SG	ὁ	ho
mk001:015	6	καιρός/2540/2522	NOM.MASC.SG	καιρὸς	kairos
mk001:015	7	καί/2532/2515	CNJ	καὶ	kai
