ep001:010	12b	-/-/-	-	,	,
ep001:010	13	ὁ/3588/3455	ART.ACC.NEUT.PL	τὰ	ta
ep001:010	14	ἐπί/1909/1903	PREP	ἐπὶ	epi
ep001:010	15	ὁ/3588/3455	ART.DAT.MASC.PL	τοῖς	tois
ep001:010	16	οὐρανός/3772/3640	DAT.MASC.PL	οὐρανοῖς	ūranois
ep001:010	17	καί/2532/2515	CNJ	καὶ	kai
ep001:010	18	ὁ/3588/3455	ART.ACC.NEUT.PL	τὰ	ta
ep001:010	19	ἐπί/1909/1903	PREP	ἐπὶ	epi
ep001:010	20	ὁ/3588/3455	ART.GEN.FEM.SG	τῆς	tēs
ep001:010	21	γῆ/1093/1092	GEN.FEM.SG	γῆς·	gēs·
ep001:010	22	ἐν/1722/1714	PREP	ἐν	en
ep001:010	23a	αὐτός/846/0841	PRON.DAT.MASC.SG	αὐτῷ	autō
ep001:010	23b	-/-/-	-	,	,
ep001:011	1	ἐν/1722/1714	PREP	ἐν	en
ep001:011	2	ὅς/3739/3607	REL.DAT.SG.MASC	ᾧ	hō
ep001:011	3	καί/2532/2515	CNJ	καὶ	kai
ep001:011	4	κληρόω/2820&5681/2805	AOR.PASS.IND.1pl	ἐκληρώθημεν	eklērōthēmen
ep001:011	5	προορίζω/4309&5685/4171	AOR.PASS.PART.NOM.MASC.PL	προορισθέντες	prooristhentes
ep001:011	6	κατά/2596/2576	PREP	κατὰ	kata
ep001:011	7	πρόθεσις/4286/4147	ACC.FEM.SG	πρόθεσιν	prothesin
ep001:011	8	ὁ/3588/3455	ART.GEN.MASC.SG	τοῦ	tū
ep001:011	9	ὁ/3588/3455	ART.ACC.NEUT.PL	τὰ	ta
ep001:011	10	πᾶς/3956/3821	ADJ.ACC.NEUT.PL	πάντα	panta
ep001:011	11	ἐνεργέω/1754&5723/1748	PRES.ACT.PART.GEN.MASC.SG	ἐνεργοῦντος	energūntos
ep001:011	12	κατά/2596/2576	PREP	κατὰ	kata
ep001:011	13	ὁ/3588/3455	ART.ACC.FEM.SG	τὴν	tēn
ep001:011	14	βουλή/1012/1010	ACC.FEM.SG	βουλὴν	būlēn
ep001:011	15	ὁ/3588/3455	ART.GEN.NEUT.SG	τοῦ	tū
ep001:011	16	θέλημα/2307/2289	GEN.NEUT.SG	θελήματος	thelēmatos
ep001:011	17	αὐτός/846/0841	PRON.GEN.MASC.SG	αὐτοῦ,	autū,
ep001:012	1	εἰς/1519/1513	PREP	εἰς	eis
ep001:012	2	ὁ/3588/3455	ART.ACC.NEUT.SG	τὸ	to
ep001:012	3	εἰμί/1510&5721/1504	PRES.ACT.INF	εἶναι	einai
ep001:012	4	ἐγώ/1473/1476	PRON.ACC.1pl	ἡμᾶς	hēmas
ep001:012	5	εἰς/1519/1513	PREP	εἰς	eis
ep001:012	6	ἔπαινος/1868/1861	ACC.MASC.SG	ἔπαινον	epainon
ep001:012	7	δόξα/1391/1393	GEN.FEM.SG	δόξης	doksēs
ep001:012	8	αὐτός/846/0841	PRON.GEN.MASC.SG	αὐτοῦ	autū
ep001:012	9	ὁ/3588/3455	ART.ACC.MASC.PL	τοὺς	tūs
ep001:012	10	προελπίζω/4276&5761/4139	PERF.ACT.PART.ACC.MASC.PL	προηλπικότας	proēlpikotas
ep001:012	11	ἐν/1722/1714	PREP	ἐν	en
ep001:012	12	ὁ/3588/3455	ART.DAT.MASC.SG	τῷ	tō
ep001:012	13a	Χριστός/5547/5383	DAT.MASC.SG	Χριστῷ	khristō
ep001:012	13b	-/-/-	-	·	·
ep001:013	1	ἐν/1722/1714	PREP	ἐν	en
ep001:013	2	ὅς/3739/3607	REL.DAT.SG.MASC	ᾧ	hō
ep001:013	3	καί/2532/2515	CNJ	καὶ	kai
ep001:013	4	σύ/4771/4624	PRON.NOM.2pl	ὑμεῖς,	hymeis,
ep001:013	5	ἀκούω/191&5660/0189	AOR.ACT.PART.NOM.MASC.PL	ἀκούσαντες	akūsantes
ep001:013	6	ὁ/3588/3455	ART.ACC.MASC.SG	τὸν	ton
ep001:013	7	λόγος/3056/3044	ACC.MASC.SG	λόγον	logon
ep001:013	8	ὁ/3588/3455	ART.GEN.FEM.SG	τῆς	tēs
ep001:013	9a	ἀλήθεια/225/0222	GEN.FEM.SG	ἀληθείας	alētheias
ep001:013	9b	-/-/-	-	,	,
ep001:013	10	ὁ/3588/3455	ART.ACC.NEUT.SG	τὸ	to
ep001:013	11	εὐαγγέλιον/2098/2085	ACC.NEUT.SG	εὐαγγέλιον	euangelion
ep001:013	12	ὁ/3588/3455	ART.GEN.FEM.SG	τῆς	tēs
ep001:013	13	σωτηρία/4991/4845	GEN.FEM.SG	σωτηρίας	sōtērias
ep001:013	14a	σύ/4771/4624	PRON.GEN.2pl	ὑμῶν	hymōn
ep001:013	14b	-/-/-	-	,	,
ep001:013	15	ἐν/1722/1714	PREP	ἐν	en
ep001:013	16	ὅς/3739/3607	REL.DAT.SG.MASC	ᾧ	hō
ep001:013	17	καί/2532/2515	CNJ	καὶ	kai
ep001:013	18	πιστεύω/4100&5660/3966	AOR.ACT.PART.NOM.MASC.PL	πιστεύσαντες	pisteusantes
ep001:013	19	σφραγίζω/4972&5681/4826	AOR.PASS.IND.2pl	ἐσφραγίσθητε	esfragisthēte
ep001:013	20	ὁ/3588/3455	ART.DAT.NEUT.SG	τῷ	tō
ep001:013	21	πνεῦμα/4151/4015	DAT.NEUT.SG	Πνεύματι	pneumati
ep001:013	22	ὁ/3588/3455	ART.GEN.FEM.SG	τῆς	tēs
ep001:013	23	ἐπαγγελία/1860/1853	GEN.FEM.SG	ἐπαγγελίας	epangelias
ep001:013	24	ὁ/3588/3455	ART.DAT.NEUT.SG	τῷ	tō
ep001:013	25a	ἅγιος/40/0041	ADJ.DAT.NEUT.SG	Ἁγίῳ	hagiō
ep001:013	25b	-/-/-	-	,	,
ep001:014	1	ὅς/3739/3607	REL.NOM.SG.MASC	ὅς	hos
ep001:014	2	εἰμί/1510&5719/1504	PRES.ACT.IND.3sg	ἐστιν	estin
ep001:014	3	ἀρραβών/728/0726	NOM.MASC.SG	ἀρραβὼν	arrabōn
ep001:014	4	ὁ/3588/3455	ART.GEN.FEM.SG	τῆς	tēs
ep001:014	5	κληρονομία/2817/2802	GEN.FEM.SG	κληρονομίας	klēronomias
ep001:014	6a	ἐγώ/1473/1476	PRON.GEN.1pl	ἡμῶν	hēmōn
ep001:014	6b	-/-/-	-	,	,
ep001:014	7	εἰς/1519/1513	PREP	εἰς	eis
ep001:014	8	ἀπολύτρωσις/629/0628	ACC.FEM.SG	ἀπολύτρωσιν	apolytrōsin
ep001:014	9	ὁ/3588/3455	ART.GEN.FEM.SG	τῆς	tēs
ep001:014	10a	περιποίησις/4047/3913	GEN.FEM.SG	περιποιήσεως	peripoiēseōs
ep001:014	10b	-/-/-	-	,	,
ep001:014	11	εἰς/1519/1513	PREP	εἰς	eis
ep001:014	12	ἔπαινος/1868/1861	ACC.MASC.SG	ἔπαινον	epainon
ep001:014	13	ὁ/3588/3455	ART.GEN.FEM.SG	τῆς	tēs
ep001:014	14	δόξα/1391/1393	GEN.FEM.SG	δόξης	doksēs
ep001:014	15a	αὐτός/846/0841	PRON.GEN.MASC.SG	αὐτοῦ	autū
ep001:014	15b	-/-/-	-	.	.
ep001:015	1	διά/1223/1221	PREP	Διὰ	dia
ep001:015	2	οὗτος/3778/-	DEM.acc.SG.NEUT	τοῦτο	tūto
ep001:015	3	κἀγώ/2504/2486	PRON.NOM.1sg	κἀγώ,	kagō,
ep001:015	4	-/-/-	-	-	-
ep001:015	5	ἀκούω/191&5660/0189	AOR.ACT.PART.NOM.MASC.SG	ἀκούσας	akūsas
ep001:015	6	ὁ/3588/3455	ART.ACC.FEM.SG	τὴν	tēn
ep001:015	7	κατά/2596/2576	PREP	καθ’	kath
ep001:015	8	σύ/4771/4624	PRON.ACC.2pl	ὑμᾶς	hymas
ep001:015	9	πίστις/4102/3968	ACC.FEM.SG	πίστιν	pistin
ep001:015	10	ἐν/1722/1714	PREP	ἐν	en
ep001:015	11	ὁ/3588/3455	ART.DAT.MASC.SG	τῷ	tō
ep001:015	12	κύριος/2962/2950	DAT.MASC.SG	Κυρίῳ	kyriō
ep001:015	13	Ἰησοῦς/2424/2406	DAT.MASC.SG	Ἰησοῦ	iēsū
ep001:015	14	καί/2532/2515	CNJ	καὶ	kai
ep001:015	15	ὁ/3588/3455	ART.ACC.FEM.SG	τὴν	tēn
ep001:015	16	ἀγάπη/26/0026	ACC.FEM.SG	ἀγάπην	agapēn
ep001:015	17	ὁ/3588/3455	ART.ACC.FEM.SG	τὴν	tēn
ep001:015	18	εἰς/1519/1513	PREP	εἰς	eis
ep001:015	19	πᾶς/3956/3821	ADJ.ACC.MASC.PL	πάντας	pantas
ep001:015	20	ὁ/3588/3455	ART.ACC.MASC.PL	τοὺς	tūs
ep001:015	21	ἅγιος/40/0041	ADJ.ACC.MASC.PL	ἁγίους,	hagiūs,
ep001:016	1	οὐ/3756/3624	PRART.NOM	οὐ	ū
ep001:016	2	παύω/3973&5731/3838	PRES.MID.IND.1sg	παύομαι	pauomai
ep001:016	3	εὐχαριστέω/2168&5723/2158	PRES.ACT.PART.NOM.MASC.SG	εὐχαριστῶν	eukharistōn
ep001:016	4	ὑπέρ/5228/5066	PREP	ὑπὲρ	hyper
ep001:016	5	σύ/4771/4624	PRON.GEN.2pl	ὑμῶν	hymōn
ep001:016	6	μνεία/3417/3289	ACC.FEM.SG	μνείαν	mneian
ep001:016	7	ποιέω/4160&5734/4024	PRES.MID.PART.NOM.MASC.SG	ποιούμενος	poiūmenos
ep001:016	8	ἐπί/1909/1903	PREP	ἐπὶ	epi
ep001:016	9	ὁ/3588/3455	ART.GEN.FEM.PL	τῶν	tōn
ep001:016	10	προσευχή/4335/4197	GEN.FEM.PL	προσευχῶν	proseukhōn
ep001:016	11a	ἐγώ/1473/1476	PRON.GEN.1sg	μου	mū
ep001:016	11b	-/-/-	-	,	,
ep001:017	1	ἵνα/2443/2424	CNJ	ἵνα	hina
ep001:017	2	ὁ/3588/3455	ART.NOM.MASC.SG	ὁ	ho
