lm001:012	18b	-/3117/2955	MASC.SG.CSTR	י֖וֹם	yowm
lm001:012	19	-/2740/2608	MASC.SG.CSTR	חֲר֥וֹן	ḥărown
lm001:012	20	-/639/0613	MASC.SG.CSTR-3ms	אַפּֽוֹ׃	ʾap-ow
lm001:012	21=í	-/-	-	ס	s
lm001:013	1a	-/m/4247	PREP	מִ	mi
lm001:013	1b	-/4791/4551	MASC.SG.ABS	מָּר֛וֹם	mārowm
lm001:013	2	-/7971/-	Qal.3ms.PERF	שָֽׁלַח־	šālaḥ-
lm001:013	3	-/784/0750	SG.ABS	אֵ֥שׁ	ʾēš
lm001:013	4a	-/b/9082	PREP	בְּ	bĕ
lm001:013	4b	-/6106/5828	FEM.PL.CSTR-1cs	עַצְמֹתַ֖י	ʿaṣĕmot-ay
lm001:013	5a	-/c/-	-	וַ	wa
lm001:013	5b	-/7287a/6989	-	יִּרְדֶּ֑נָּה	yirĕd-enāh
lm001:013	6	-/6566/6282	Qal.3ms.PERF	פָּרַ֨שׂ	pāraś
lm001:013	7	-/7568/7261	FEM.SG.ABS	רֶ֤שֶׁת	rešet
lm001:013	8a	-/l/3599	PREP	לְ	lĕ
lm001:013	8b	-/7272/6974	FD.CSTR-1cs	רַגְלַי֙	ragĕl-ay
lm001:013	9	-/7725/-	Hiph.3ms.PERF-1cs	הֱשִׁיבַ֣נִי	hĕšîb-anî
lm001:013	10	-/268/0263	MASC.SG.ABS	אָח֔וֹר	ʾāḥowr
lm001:013	11	-/5414/5143	Qal.3ms.PERF-1cs	נְתָנַ֨נִי֙	nĕtān-anî
lm001:013	12	-/8076/7805	Qal.FEM.SG.ACT.PCP.ABS	שֹֽׁמֵמָ֔ה	šomēmāh
lm001:013	13	-/3605/3409	MASC.SG.CSTR	כָּל־	kāl-
lm001:013	14a	-/d/-	ART	הַ	ha
lm001:013	14b	-/3117/2955	MASC.SG.ABS	יּ֖וֹם	yowm
lm001:013	15	-/1739/1661	ADJ.FEM.SG.ABS	דָּוָֽה׃	dāwāh
lm001:013	16=í	-/-	-	ס	s
lm001:014	1	-/8244/7399	Niph.3ms.PERF	נִשְׂקַד֩	niśĕqad
lm001:014	2	-/5923/5651	-	עֹ֨ל	ʿol
lm001:014	3	-/6588/6302	MASC.PL.CSTR-1cs	פְּשָׁעַ֜י	pĕšāʿ-ay
lm001:014	4a	-/b/9082	PREP	בְּ	bĕ
lm001:014	4b	-/3027/2889	SG.CSTR-3ms	יָד֗וֹ	yād-ow
lm001:014	6	-/5927/5654	Qal.3cp.PERF	עָל֥וּ	ʿālū
lm001:014	7	-/5921a/-	PREP	עַל־	ʿal-
lm001:014	8	-/6677a/6388	MASC.SG.CSTR-1cs	צַוָּארִ֖י	ṣaūāʾr-î
lm001:014	9	-/3782/3576	Hiph.3ms.PERF	הִכְשִׁ֣יל	hiḵĕšîl
lm001:014	10	-/3581b/3385	MASC.SG.CSTR-1cs	כֹּחִ֑י	koḥ-î
lm001:014	11	-/5414/5143	Qal.3ms.PERF-1cs	נְתָנַ֣נִי	nĕtān-anî
lm001:014	12	-/136/-	MASC.PL.CSTR-1cs	אֲדֹנָ֔י	ʾădonāy
lm001:014	13a	-/b/9082	PREP	בִּ	bi
lm001:014	13b	-/3027/2889	BD.CSTR	ידֵ֖י	ydê
lm001:014	14	-/3808/-	NEG	לֹא־	loʾ-
lm001:014	15	-/3201/3030	Qal.1cs.IMPF	אוּכַ֥ל	ʾūḵal
lm001:014	16	-/6965b/-	Qal.INF.CSTR	קֽוּם׃	qūm
lm001:014	17=í	-/-	-	ס	s
lm001:015	1	-/5541a/5266	PI.3ms.PERF	סִלָּ֨ה	silāh
lm001:015	2	-/3605/3409	MASC.SG.CSTR	כָל־	ḵāl-
lm001:015	3	-/47/-	ADJ.MASC.PL.CSTR	אַבִּירַ֤י׀	ʾabîr-ay
lm001:015	4	-/136/-	MASC.PL.CSTR-1cs	אֲדֹנָי֙	ʾădonāy
lm001:015	5a	-/b/9082	PREP	בְּ	bĕ
lm001:015	5b	-/7130/6841	MASC.SG.CSTR-1cs	קִרְבִּ֔י	qirĕb-î
